feature,importance,fold
POLICY_Insured_Amount1_MAX,15183.992457389832,1
POLICY_Policy_days_from_ibirth_MEAN,47676.685896873474,1
POLICY_Manafactured_Year_and_Month_diff_MAX,26486.09685230255,1
POLICY_Engine_Displacement_(Cubic_Centimeter)_MAX,12829.082288742065,1
POLICY_Imported_or_Domestic_Car_index_10_MEAN,12223.695883750916,1
POLICY_Policy_days_from_dbirth_MEAN,10284.309976577759,1
POLICY_lia_class_MAX,145511.71904182434,1
POLICY_Coverage_Deductible_if_applied_SUM,13517.717202186584,1
POLICY_Deductible_calc_MAX,33732.881299972534,1
POLICY_Deductible_calc_SUM,9195.348788261414,1
POLICY_Insured_Amount3_MAX,620352.5118265152,1
POLICY_Insured_Amount3_MEAN,68524.01797389984,1
POLICY_Insured_Amount3_SUM,12519.271114349365,1
POLICY_Replacement_cost_of_insured_vehicle_MAX,3990.38040971756,1
POLICY_Replacement_cost_of_insured_vehicle_SUM,13681.628587722778,1
POLICY_Premium_MAX,36551.85717868805,1
POLICY_Premium_MEAN,40513.966857910156,1
POLICY_Premium_SUM,762580.3308467865,1
POLICY_pdmg_acc_MAX,151126.28413391113,1
POLICY_Main_Insurance_Coverage_Group_竊盜_MEAN,11337.787621498108,1
POLICY_qpt_MAX,18398.927602767944,1
POLICY_Insured_Amount2_MEAN,16352.676965713501,1
POLICY_plia_acc_MAX,36190.80467128754,1
POLICY_COUNT,36648.14248371124,1
POLICY_CURR_Deductible_calc_MEAN,38266.292766571045,1
POLICY_CURR_Insured_Amount1_MEAN,132079.4455356598,1
POLICY_CURR_Insured_Amount1_SUM,118115.99082279205,1
POLICY_CURR_Insured_Amount3_MAX,62010.30872631073,1
POLICY_CURR_Insured_Amount3_SUM,67806.58709335327,1
POLICY_CURR_Insured_Amount2_MAX,0.0,1
POLICY_CURR_Insured_Amount2_MEAN,16371.730438232422,1
POLICY_CURR_Insured_Amount2_SUM,3404820.4068489075,1
POLICY_CURR_Premium_MAX,92406.09991645813,1
POLICY_CURR_Premium_MEAN,36588.78462982178,1
POLICY_CURR_Premium_SUM,4289420.102228165,1
CLAIM_Coverage_16P_MEAN,22052.176255226135,1
CLAIM_Paid_Loss_Amount_MEAN,37702.6501159668,1
CLAIM_Paid_Loss_Amount_MAX,664860.1184692383,1
CLAIM_Paid_Loss_Amount_SUM,20549.245423316956,1
CLAIM_Coverage_20K_MEAN,140.05213928222656,1
