feature,importance,fold
POLICY_qpt_MAX,21586.501618385315,1
POLICY_Imported_or_Domestic_Car_index_10_MEAN,12074.928094863892,1
POLICY_Replacement_cost_of_insured_vehicle_MAX,7997.905411720276,1
POLICY_Replacement_cost_of_insured_vehicle_SUM,8179.796152114868,1
POLICY_Policy_days_from_ibirth_MEAN,48523.02823257446,1
POLICY_Main_Insurance_Coverage_Group_竊盜_MEAN,30225.070916175842,1
POLICY_pdmg_acc_MAX,150550.28349018097,1
POLICY_pdmg_acc_MEAN,8663.501088142395,1
POLICY_Insured_Amount2_MAX,14678.998381614685,1
POLICY_Insured_Amount2_MEAN,12369.56672000885,1
POLICY_Insured_Amount2_SUM,44896.474373817444,1
POLICY_Imported_or_Domestic_Car_index_30_MEAN,2513.166262626648,1
POLICY_Insured_Amount3_MAX,2315174.1953639984,1
POLICY_Insured_Amount3_MEAN,171962.28902721405,1
POLICY_Insured_Amount3_SUM,70017.44724464417,1
POLICY_Engine_Displacement_(Cubic_Centimeter)_MAX,11647.595995903015,1
POLICY_Manafactured_Year_and_Month_MAX,42017.96407222748,1
POLICY_Main_Insurance_Coverage_Group_車損_MEAN,3308.9773120880127,1
POLICY_Coverage_Deductible_if_applied_MAX,3281.344808578491,1
POLICY_Coverage_Deductible_if_applied_MEAN,12538.832904815674,1
POLICY_Coverage_Deductible_if_applied_SUM,17048.77702140808,1
POLICY_plia_acc_MAX,84336.4107465744,1
POLICY_plia_acc_MEAN,4331.282768726349,1
POLICY_lia_class_MAX,90543.4597196579,1
POLICY_lia_class_MEAN,6210.501051902771,1
POLICY_Main_Insurance_Coverage_Group_車責_MEAN,10745.977674484253,1
POLICY_Premium_MAX,1297292.816529274,1
POLICY_Premium_MEAN,144427.95056819916,1
POLICY_Premium_SUM,6319513.625705242,1
POLICY_Insured_Amount1_MAX,13163.351251602173,1
POLICY_Insured_Amount1_MEAN,3824.508843421936,1
POLICY_Insured_Amount1_SUM,87754.29419708252,1
POLICY_Policy_days_from_dbirth_MEAN,14437.309500694275,1
POLICY_COUNT,73688.99158000946,1
CLAIM_At_Fault?_SUM,5408.453297615051,1
CLAIM_Driver_days_from_accident_MEAN,5531.569471359253,1
CLAIM_Cause_of_Loss_cause_0_MEAN,5702.535782814026,1
CLAIM_Paid_Loss_Amount_MEAN,16022.552006721497,1
CLAIM_Paid_Loss_Amount_MAX,34467.647028923035,1
CLAIM_Paid_Loss_Amount_SUM,3511.100317001343,1
POLICY_qpt_MAX,14559.158208847046,2
POLICY_Imported_or_Domestic_Car_index_10_MEAN,10451.257522583008,2
POLICY_Replacement_cost_of_insured_vehicle_MAX,652.1921997070312,2
POLICY_Replacement_cost_of_insured_vehicle_SUM,2863.8844108581543,2
POLICY_Policy_days_from_ibirth_MEAN,29934.544343948364,2
POLICY_Main_Insurance_Coverage_Group_竊盜_MEAN,25555.280181884766,2
POLICY_pdmg_acc_MAX,148562.94121742249,2
POLICY_pdmg_acc_MEAN,7778.805904388428,2
POLICY_Insured_Amount2_MAX,6240.558288574219,2
POLICY_Insured_Amount2_MEAN,7820.713640213013,2
POLICY_Insured_Amount2_SUM,48807.62714385986,2
POLICY_Imported_or_Domestic_Car_index_30_MEAN,388.3504943847656,2
POLICY_Insured_Amount3_MAX,1618504.3103675842,2
POLICY_Insured_Amount3_MEAN,126351.96555900574,2
POLICY_Insured_Amount3_SUM,67389.3282585144,2
POLICY_Engine_Displacement_(Cubic_Centimeter)_MAX,10559.284524917603,2
POLICY_Manafactured_Year_and_Month_MAX,37292.464752197266,2
POLICY_Main_Insurance_Coverage_Group_車損_MEAN,465.63709831237793,2
POLICY_Coverage_Deductible_if_applied_MAX,1817.5998229980469,2
POLICY_Coverage_Deductible_if_applied_MEAN,7488.7936363220215,2
POLICY_Coverage_Deductible_if_applied_SUM,12872.905363082886,2
POLICY_plia_acc_MAX,57263.00197792053,2
POLICY_plia_acc_MEAN,3023.030948638916,2
POLICY_lia_class_MAX,86763.6757183075,2
POLICY_lia_class_MEAN,6570.43590927124,2
POLICY_Main_Insurance_Coverage_Group_車責_MEAN,10154.40609550476,2
POLICY_Premium_MAX,806712.8622455597,2
POLICY_Premium_MEAN,59073.86811828613,2
POLICY_Premium_SUM,4910910.565048218,2
POLICY_Insured_Amount1_MAX,17085.52229118347,2
POLICY_Insured_Amount1_MEAN,10304.44645690918,2
POLICY_Insured_Amount1_SUM,68889.44215202332,2
POLICY_Policy_days_from_dbirth_MEAN,5496.895174026489,2
POLICY_COUNT,75476.72209358215,2
CLAIM_At_Fault?_SUM,4332.860013961792,2
CLAIM_Driver_days_from_accident_MEAN,3822.9405059814453,2
CLAIM_Cause_of_Loss_cause_0_MEAN,6261.275300979614,2
CLAIM_Paid_Loss_Amount_MEAN,19447.02608680725,2
CLAIM_Paid_Loss_Amount_MAX,24976.280471801758,2
CLAIM_Paid_Loss_Amount_SUM,2771.655387878418,2
POLICY_qpt_MAX,16955.06802892685,3
POLICY_Imported_or_Domestic_Car_index_10_MEAN,12294.576115608215,3
POLICY_Replacement_cost_of_insured_vehicle_MAX,7171.744302272797,3
POLICY_Replacement_cost_of_insured_vehicle_SUM,11064.393028259277,3
POLICY_Policy_days_from_ibirth_MEAN,47327.285395145416,3
POLICY_Main_Insurance_Coverage_Group_竊盜_MEAN,29673.41890525818,3
POLICY_pdmg_acc_MAX,152736.9490761757,3
POLICY_pdmg_acc_MEAN,9401.283880233765,3
POLICY_Insured_Amount2_MAX,5215.298636436462,3
POLICY_Insured_Amount2_MEAN,12719.88374042511,3
POLICY_Insured_Amount2_SUM,56239.78962278366,3
POLICY_Imported_or_Domestic_Car_index_30_MEAN,20750.091799736023,3
POLICY_Insured_Amount3_MAX,2784077.9594016075,3
POLICY_Insured_Amount3_MEAN,188727.1829533577,3
POLICY_Insured_Amount3_SUM,68438.76121139526,3
POLICY_Engine_Displacement_(Cubic_Centimeter)_MAX,12880.989548683167,3
POLICY_Manafactured_Year_and_Month_MAX,43798.92710208893,3
