feature,importance,fold
POLICY_Coverage_Deductible_if_applied_MAX,8823.264848947525,1
POLICY_Coverage_Deductible_if_applied_MEAN,78541.27769565582,1
POLICY_Coverage_Deductible_if_applied_SUM,40381.081013441086,1
POLICY_Engine_Displacement_(Cubic_Centimeter)_MAX,111834.24600052834,1
POLICY_Manafactured_Year_and_Month_MAX,213655.14531588554,1
POLICY_Insured_Amount1_MAX,353045.9191646576,1
POLICY_Insured_Amount1_MEAN,33937.255578517914,1
POLICY_Insured_Amount1_SUM,173968.69712626934,1
POLICY_Insured_Amount2_MAX,57071.315679073334,1
POLICY_Insured_Amount2_MEAN,38610.76428544521,1
POLICY_Insured_Amount2_SUM,24502.75705718994,1
POLICY_Imported_or_Domestic_Car_index_10_MEAN,28503.730141162872,1
POLICY_Policy_days_from_ibirth_MEAN,354536.8730484247,1
POLICY_Main_Insurance_Coverage_Group_車責_MEAN,83419.80116415024,1
POLICY_Main_Insurance_Coverage_Group_車損_MEAN,21676.38991165161,1
POLICY_Replacement_cost_of_insured_vehicle_MAX,221966.25042319298,1
POLICY_Replacement_cost_of_insured_vehicle_MEAN,10564.706645011902,1
POLICY_Replacement_cost_of_insured_vehicle_SUM,128173.89215397835,1
POLICY_iply_area_area_2_MEAN,8818.964888095856,1
POLICY_Main_Insurance_Coverage_Group_竊盜_MEAN,61366.105147480965,1
POLICY_iply_area_area_0_MEAN,8881.692412614822,1
POLICY_Insured_Amount3_MAX,1245239.5166848898,1
POLICY_Insured_Amount3_MEAN,121318.72803163528,1
POLICY_Insured_Amount3_SUM,85070.54687786102,1
POLICY_Premium_MAX,1026057.8177987337,1
POLICY_Premium_MEAN,383956.85696434975,1
POLICY_Premium_SUM,6781712.712249398,1
POLICY_Imported_or_Domestic_Car_index_30_MEAN,5178.587927818298,1
POLICY_COUNT,217983.02413916588,1
CLAIM_At_Fault?_MEAN,2471.541079759598,1
CLAIM_At_Fault?_SUM,7264.627235174179,1
CLAIM_Coverage_16P_MEAN,4377.710271835327,1
CLAIM_Driver_days_from_accident_MEAN,14541.609980463982,1
CLAIM_Driver_days_from_birth_MEAN,10414.164972424507,1
CLAIM_paid_Expenses_Amount_MEAN,2835.664218902588,1
CLAIM_number_of_claimants_SUM,3806.365973353386,1
CLAIM_Cause_of_Loss_cause_0_MEAN,6575.302911996841,1
CLAIM_Paid_Loss_Amount_MEAN,23352.141449928284,1
CLAIM_Paid_Loss_Amount_MAX,45561.36242938042,1
CLAIM_Paid_Loss_Amount_SUM,11380.137354373932,1
POLICY_Coverage_Deductible_if_applied_MAX,8716.703803539276,2
POLICY_Coverage_Deductible_if_applied_MEAN,105650.97942018509,2
POLICY_Coverage_Deductible_if_applied_SUM,66834.27409362793,2
POLICY_Engine_Displacement_(Cubic_Centimeter)_MAX,202366.5309138298,2
POLICY_Manafactured_Year_and_Month_MAX,249914.48491871357,2
POLICY_Insured_Amount1_MAX,274072.12260723114,2
POLICY_Insured_Amount1_MEAN,36326.32107758522,2
POLICY_Insured_Amount1_SUM,283608.33213698864,2
POLICY_Insured_Amount2_MAX,40375.16178607941,2
POLICY_Insured_Amount2_MEAN,168128.62696814537,2
POLICY_Insured_Amount2_SUM,28800.060720682144,2
POLICY_Imported_or_Domestic_Car_index_10_MEAN,25128.832737207413,2
POLICY_Policy_days_from_ibirth_MEAN,495024.10313880444,2
POLICY_Main_Insurance_Coverage_Group_車責_MEAN,95331.74739694595,2
POLICY_Main_Insurance_Coverage_Group_車損_MEAN,41492.95966088772,2
POLICY_Replacement_cost_of_insured_vehicle_MAX,404483.1425322294,2
POLICY_Replacement_cost_of_insured_vehicle_MEAN,19973.719912052155,2
POLICY_Replacement_cost_of_insured_vehicle_SUM,128352.59468770027,2
POLICY_iply_area_area_2_MEAN,5851.667448759079,2
POLICY_Main_Insurance_Coverage_Group_竊盜_MEAN,37216.84727191925,2
POLICY_iply_area_area_0_MEAN,5506.551346063614,2
POLICY_Insured_Amount3_MAX,1025473.2907288074,2
POLICY_Insured_Amount3_MEAN,113878.41057026386,2
POLICY_Insured_Amount3_SUM,146357.85258829594,2
POLICY_Premium_MAX,906266.0021305084,2
POLICY_Premium_MEAN,672083.0814689398,2
POLICY_Premium_SUM,6737640.916291475,2
POLICY_Imported_or_Domestic_Car_index_30_MEAN,2118.1633715629578,2
POLICY_COUNT,312960.67550361156,2
CLAIM_At_Fault?_MEAN,3388.112583398819,2
CLAIM_At_Fault?_SUM,6513.54691195488,2
CLAIM_Coverage_16P_MEAN,8021.836745500565,2
CLAIM_Driver_days_from_accident_MEAN,14560.684299826622,2
CLAIM_Driver_days_from_birth_MEAN,11845.257801055908,2
CLAIM_paid_Expenses_Amount_MEAN,3507.6110351085663,2
CLAIM_number_of_claimants_SUM,4681.704003334045,2
CLAIM_Cause_of_Loss_cause_0_MEAN,6685.187857866287,2
CLAIM_Paid_Loss_Amount_MEAN,34259.08017683029,2
CLAIM_Paid_Loss_Amount_MAX,36476.920647382736,2
CLAIM_Paid_Loss_Amount_SUM,13766.841356515884,2
POLICY_Coverage_Deductible_if_applied_MAX,7991.120678901672,3
POLICY_Coverage_Deductible_if_applied_MEAN,80944.36392593384,3
POLICY_Coverage_Deductible_if_applied_SUM,46510.6028649807,3
POLICY_Engine_Displacement_(Cubic_Centimeter)_MAX,101647.06732940674,3
POLICY_Manafactured_Year_and_Month_MAX,236674.19458723068,3
POLICY_Insured_Amount1_MAX,467900.82080578804,3
POLICY_Insured_Amount1_MEAN,35988.79455971718,3
POLICY_Insured_Amount1_SUM,135720.6927397251,3
POLICY_Insured_Amount2_MAX,45913.77603673935,3
POLICY_Insured_Amount2_MEAN,30924.174308538437,3
POLICY_Insured_Amount2_SUM,20034.23537349701,3
POLICY_Imported_or_Domestic_Car_index_10_MEAN,15526.471868515015,3
POLICY_Policy_days_from_ibirth_MEAN,407187.7593226433,3
POLICY_Main_Insurance_Coverage_Group_車責_MEAN,100758.48330235481,3
POLICY_Main_Insurance_Coverage_Group_車損_MEAN,35138.99457645416,3
POLICY_Replacement_cost_of_insured_vehicle_MAX,376279.27174425125,3
POLICY_Replacement_cost_of_insured_vehicle_MEAN,18533.515125751495,3
POLICY_Replacement_cost_of_insured_vehicle_SUM,191811.10056519508,3
POLICY_iply_area_area_2_MEAN,2227.3295907974243,3
POLICY_Main_Insurance_Coverage_Group_竊盜_MEAN,33135.766422748566,3
POLICY_iply_area_area_0_MEAN,5492.664170503616,3
POLICY_Insured_Amount3_MAX,994165.8392691612,3
POLICY_Insured_Amount3_MEAN,97240.41221880913,3
POLICY_Insured_Amount3_SUM,106992.49024891853,3
POLICY_Premium_MAX,1182496.2238755226,3
POLICY_Premium_MEAN,323925.0587198734,3
POLICY_Premium_SUM,7575150.719388366,3
POLICY_Imported_or_Domestic_Car_index_30_MEAN,926.1268329620361,3
POLICY_COUNT,274808.0006263256,3
CLAIM_At_Fault?_MEAN,3128.143312692642,3
CLAIM_At_Fault?_SUM,5645.185819387436,3
CLAIM_Coverage_16P_MEAN,3884.470862388611,3
CLAIM_Driver_days_from_accident_MEAN,12129.09039235115,3
CLAIM_Driver_days_from_birth_MEAN,5583.511322259903,3
CLAIM_paid_Expenses_Amount_MEAN,2105.636164188385,3
CLAIM_number_of_claimants_SUM,2126.153529882431,3
CLAIM_Cause_of_Loss_cause_0_MEAN,4757.8475205898285,3
CLAIM_Paid_Loss_Amount_MEAN,23740.479388237,3
CLAIM_Paid_Loss_Amount_MAX,42328.89712381363,3
CLAIM_Paid_Loss_Amount_SUM,9077.71760559082,3
POLICY_Coverage_Deductible_if_applied_MAX,9213.54104423523,4
POLICY_Coverage_Deductible_if_applied_MEAN,100521.04580116272,4
POLICY_Coverage_Deductible_if_applied_SUM,31314.960743546486,4
POLICY_Engine_Displacement_(Cubic_Centimeter)_MAX,82213.3264079094,4
POLICY_Manafactured_Year_and_Month_MAX,211172.64860761166,4
POLICY_Insured_Amount1_MAX,391654.1911159158,4
POLICY_Insured_Amount1_MEAN,37009.48264348507,4
POLICY_Insured_Amount1_SUM,140195.38358008862,4
POLICY_Insured_Amount2_MAX,36281.867522239685,4
POLICY_Insured_Amount2_MEAN,132065.41914641857,4
POLICY_Insured_Amount2_SUM,27106.968760490417,4
POLICY_Imported_or_Domestic_Car_index_10_MEAN,49098.53384852409,4
POLICY_Policy_days_from_ibirth_MEAN,330764.9467804432,4
POLICY_Main_Insurance_Coverage_Group_車責_MEAN,84223.59359169006,4
POLICY_Main_Insurance_Coverage_Group_車損_MEAN,26992.702662706375,4
POLICY_Replacement_cost_of_insured_vehicle_MAX,148034.29003369808,4
POLICY_Replacement_cost_of_insured_vehicle_MEAN,7912.7486164569855,4
POLICY_Replacement_cost_of_insured_vehicle_SUM,105262.0031234026,4
POLICY_iply_area_area_2_MEAN,3532.8337478637695,4
POLICY_Main_Insurance_Coverage_Group_竊盜_MEAN,42097.06373691559,4
POLICY_iply_area_area_0_MEAN,3637.0465648174286,4
POLICY_Insured_Amount3_MAX,1035540.9032049179,4
POLICY_Insured_Amount3_MEAN,111923.97454667091,4
POLICY_Insured_Amount3_SUM,189147.52323508263,4
POLICY_Premium_MAX,945119.1308287382,4
POLICY_Premium_MEAN,372658.617667675,4
POLICY_Premium_SUM,6086706.036420107,4
POLICY_Imported_or_Domestic_Car_index_30_MEAN,2301.1242179870605,4
POLICY_COUNT,262322.1648725271,4
CLAIM_At_Fault?_MEAN,3229.377182483673,4
CLAIM_At_Fault?_SUM,6564.474323511124,4
CLAIM_Coverage_16P_MEAN,4461.899984836578,4
CLAIM_Driver_days_from_accident_MEAN,16576.813271164894,4
CLAIM_Driver_days_from_birth_MEAN,10436.499022483826,4
CLAIM_paid_Expenses_Amount_MEAN,3634.379473209381,4
CLAIM_number_of_claimants_SUM,3709.617421746254,4
CLAIM_Cause_of_Loss_cause_0_MEAN,7165.278168678284,4
CLAIM_Paid_Loss_Amount_MEAN,29194.227079749107,4
CLAIM_Paid_Loss_Amount_MAX,38796.51551628113,4
CLAIM_Paid_Loss_Amount_SUM,13484.43005824089,4
POLICY_Coverage_Deductible_if_applied_MAX,6783.157742261887,5
POLICY_Coverage_Deductible_if_applied_MEAN,172488.536008358,5
POLICY_Coverage_Deductible_if_applied_SUM,32558.773379445076,5
POLICY_Engine_Displacement_(Cubic_Centimeter)_MAX,117900.26055598259,5
POLICY_Manafactured_Year_and_Month_MAX,249635.08285808563,5
POLICY_Insured_Amount1_MAX,299787.34287416935,5
POLICY_Insured_Amount1_MEAN,37719.28422033787,5
POLICY_Insured_Amount1_SUM,135699.79464042187,5
POLICY_Insured_Amount2_MAX,176265.8433816433,5
POLICY_Insured_Amount2_MEAN,51051.6027610302,5
POLICY_Insured_Amount2_SUM,27154.742586135864,5
POLICY_Imported_or_Domestic_Car_index_10_MEAN,113050.0571680069,5
POLICY_Policy_days_from_ibirth_MEAN,378568.3326866627,5
POLICY_Main_Insurance_Coverage_Group_車責_MEAN,72363.75597906113,5
POLICY_Main_Insurance_Coverage_Group_車損_MEAN,17126.027818918228,5
POLICY_Replacement_cost_of_insured_vehicle_MAX,330693.15690362453,5
POLICY_Replacement_cost_of_insured_vehicle_MEAN,15742.607311487198,5
POLICY_Replacement_cost_of_insured_vehicle_SUM,91673.21415889263,5
POLICY_iply_area_area_2_MEAN,5432.38839507103,5
POLICY_Main_Insurance_Coverage_Group_竊盜_MEAN,42948.11735320091,5
POLICY_iply_area_area_0_MEAN,3228.9443724155426,5
POLICY_Insured_Amount3_MAX,1018447.0254510641,5
POLICY_Insured_Amount3_MEAN,113891.77831470966,5
POLICY_Insured_Amount3_SUM,161712.9796321392,5
POLICY_Premium_MAX,811098.7641705275,5
POLICY_Premium_MEAN,313071.9208524227,5
POLICY_Premium_SUM,6184652.3500493765,5
POLICY_Imported_or_Domestic_Car_index_30_MEAN,5137.160398483276,5
POLICY_COUNT,187106.19319927692,5
CLAIM_At_Fault?_MEAN,2823.533728837967,5
CLAIM_At_Fault?_SUM,8252.814992308617,5
CLAIM_Coverage_16P_MEAN,4748.120498895645,5
CLAIM_Driver_days_from_accident_MEAN,15813.541484117508,5
CLAIM_Driver_days_from_birth_MEAN,11238.471917033195,5
CLAIM_paid_Expenses_Amount_MEAN,3878.8359726667404,5
CLAIM_number_of_claimants_SUM,4534.218799829483,5
CLAIM_Cause_of_Loss_cause_0_MEAN,6456.339987754822,5
CLAIM_Paid_Loss_Amount_MEAN,38980.00411272049,5
CLAIM_Paid_Loss_Amount_MAX,35292.137349009514,5
CLAIM_Paid_Loss_Amount_SUM,11910.194913983345,5
