iter	MAE	MAE
0	5081.314293	5081.314293
1	5081.292625	5081.292625
2	5081.27498	5081.27498
3	5081.253477	5081.253477
4	5081.235612	5081.235612
5	5081.214299	5081.214299
6	5081.196306	5081.196306
7	5081.175107	5081.175107
8	5081.156968	5081.156968
9	5081.13588	5081.13588
10	5081.117629	5081.117629
11	5081.096657	5081.096657
12	5081.078349	5081.078349
13	5081.05739	5081.05739
14	5081.039069	5081.039069
15	5081.018124	5081.018124
16	5080.999789	5080.999789
17	5080.978858	5080.978858
18	5080.960509	5080.960509
19	5080.939592	5080.939592
20	5080.92123	5080.92123
21	5080.900324	5080.900324
22	5080.881952	5080.881952
23	5080.861055	5080.861055
24	5080.842671	5080.842671
25	5080.82179	5080.82179
26	5080.803393	5080.803393
27	5080.782522	5080.782522
28	5080.764114	5080.764114
29	5080.743254	5080.743254
30	5080.724834	5080.724834
31	5080.703987	5080.703987
32	5080.685556	5080.685556
33	5080.66472	5080.66472
34	5080.646276	5080.646276
35	5080.625452	5080.625452
36	5080.606997	5080.606997
37	5080.586185	5080.586185
38	5080.567718	5080.567718
39	5080.546917	5080.546917
40	5080.52844	5080.52844
41	5080.507649	5080.507649
