iter	Passed	Remaining
0	221	176808
1	439	175517
2	658	174961
3	867	172569
4	1096	174294
5	1309	173292
6	1525	172838
7	1731	171423
8	1939	170426
9	2148	169757
10	2356	169033
11	2562	168252
12	2769	167688
13	2978	167235
14	3188	166874
15	3397	166482
16	3608	166182
17	3816	165807
18	4026	165505
19	4236	165206
20	4445	164891
21	4651	164496
22	4860	164184
23	5069	163904
24	5278	163648
25	5486	163331
26	5694	163027
27	5901	162705
28	6113	162547
29	6321	162240
30	6529	161963
31	6737	161692
32	6945	161423
33	7166	161459
34	7376	161234
35	7600	161296
36	7808	161026
37	8028	160986
38	8259	161171
39	8482	161176
40	8714	161318
41	8935	161268
