feature,importance,fold
POLICY_lia_class_MAX,58502409592.0,1
POLICY_lia_class_MEAN,1782577848.0,1
POLICY_Insurance_Coverage_18@_MEAN,13581592704.0,1
POLICY_New_Insured_Amount_max_MAX,36033459240.0,1
POLICY_New_Insured_Amount_max_MEAN,96944275304.0,1
POLICY_New_Insured_Amount_max_SUM,90847274116.0,1
POLICY_Imported_or_Domestic_Car_index_20_MEAN,0.0,1
POLICY_Insurance_Coverage_26H_MEAN,608630016.0,1
POLICY_iply_area_area_14_MEAN,0.0,1
POLICY_Insurance_Coverage_29B_MEAN,11183370888.0,1
POLICY_Insurance_Coverage_20B_MEAN,2595807040.0,1
POLICY_Main_Insurance_Coverage_Group_竊盜_MEAN,33436968016.0,1
POLICY_Insurance_Coverage_14N_MEAN,8923401024.0,1
POLICY_Insured_Amount1_MAX,25484055120.0,1
POLICY_Insured_Amount1_MEAN,78148226576.0,1
POLICY_Insured_Amount1_SUM,85817984988.0,1
POLICY_Insurance_Coverage_45@_MEAN,1043057104.0,1
POLICY_Imported_or_Domestic_Car_index_10_MEAN,1188169200.0,1
POLICY_Insurance_Coverage_42F_MEAN,0.0,1
POLICY_iply_area_area_8_MEAN,38564200.0,1
POLICY_Deductible_calc_MAX,97706192016.0,1
POLICY_Deductible_calc_MEAN,60371263744.0,1
POLICY_Deductible_calc_SUM,45492836680.0,1
POLICY_Insured_Amount3_MAX,2007300000.0,1
POLICY_Insured_Amount3_MEAN,3327348992.0,1
POLICY_Insured_Amount3_SUM,16212997256.0,1
POLICY_Insurance_Coverage_03L_MEAN,4278990016.0,1
POLICY_Insured_Amount2_MAX,8543662456.0,1
POLICY_Insured_Amount2_MEAN,57332894820.0,1
POLICY_Insured_Amount2_SUM,43912971652.0,1
POLICY_fassured_cat_0_MEAN,2597730048.0,1
POLICY_iply_area_area_5_MEAN,0.0,1
POLICY_iply_area_area_0_MEAN,7454630016.0,1
POLICY_Insurance_Coverage_00I_MEAN,12627257952.0,1
POLICY_Coverage_Deductible_if_applied_MAX,2510903400.0,1
