feature,importance,fold
POLICY_Insured_Amount1_MAX,15183.992457389832,1
POLICY_Insured_Amount1_MEAN,2117.89280128479,1
POLICY_Insured_Amount1_SUM,7159.970569610596,1
POLICY_fassured_cat_1_MEAN,895.0641078948975,1
POLICY_Imported_or_Domestic_Car_index_30_MEAN,13065.342878341675,1
POLICY_Policy_days_from_ibirth_MEAN,47676.685896873474,1
POLICY_Manafactured_Year_and_Month_diff_MAX,26486.09685230255,1
POLICY_Manafactured_Year_and_Month_MAX,2531.3018522262573,1
POLICY_Engine_Displacement_(Cubic_Centimeter)_MAX,12829.082288742065,1
POLICY_iply_area_area_14_MEAN,20.249449729919434,1
POLICY_Imported_or_Domestic_Car_index_20_MEAN,0.0,1
POLICY_Imported_or_Domestic_Car_index_10_MEAN,12223.695883750916,1
POLICY_Policy_days_from_dbirth_MEAN,10284.309976577759,1
POLICY_lia_class_MAX,145511.71904182434,1
POLICY_lia_class_MEAN,6597.739898681641,1
POLICY_Coverage_Deductible_if_applied_MAX,2074.6698064804077,1
POLICY_Coverage_Deductible_if_applied_MEAN,7478.863943099976,1
POLICY_Coverage_Deductible_if_applied_SUM,13517.717202186584,1
POLICY_Deductible_calc_MAX,33732.881299972534,1
POLICY_Deductible_calc_MEAN,8373.831495285034,1
POLICY_Deductible_calc_SUM,9195.348788261414,1
POLICY_iply_area_area_5_MEAN,125.80119037628174,1
POLICY_Main_Insurance_Coverage_Group_車損_MEAN,2088.8076124191284,1
POLICY_Imported_or_Domestic_Car_index_90_MEAN,0.0,1
POLICY_iply_area_area_0_MEAN,579.6654539108276,1
POLICY_Insured_Amount3_MAX,620352.5118265152,1
POLICY_Insured_Amount3_MEAN,68524.01797389984,1
POLICY_Insured_Amount3_SUM,12519.271114349365,1
POLICY_iply_area_area_15_MEAN,0.0,1
POLICY_iply_area_area_4_MEAN,15.056599617004395,1
POLICY_Replacement_cost_of_insured_vehicle_MAX,3990.38040971756,1
POLICY_Replacement_cost_of_insured_vehicle_MEAN,205.80559921264648,1
POLICY_Replacement_cost_of_insured_vehicle_SUM,13681.628587722778,1
POLICY_iply_area_area_2_MEAN,566.8479919433594,1
POLICY_Premium_MAX,36551.85717868805,1
POLICY_Premium_MEAN,40513.966857910156,1
POLICY_Premium_SUM,762580.3308467865,1
POLICY_Imported_or_Domestic_Car_index_50_MEAN,19.903200149536133,1
POLICY_iply_area_area_10_MEAN,0.0,1
POLICY_pdmg_acc_MAX,151126.28413391113,1
POLICY_pdmg_acc_MEAN,10537.382326126099,1
POLICY_iply_area_area_8_MEAN,613.0576095581055,1
POLICY_Main_Insurance_Coverage_Group_車責_MEAN,5759.57818031311,1
