feature,importance,fold
POLICY_Imported_or_Domestic_Car_index_50_MEAN,612.7473769187927,1
POLICY_Coverage_Deductible_if_applied_MAX,8823.264848947525,1
POLICY_Coverage_Deductible_if_applied_MEAN,78541.27769565582,1
POLICY_Coverage_Deductible_if_applied_SUM,40381.081013441086,1
POLICY_fequipment5_MAX,0.0,1
POLICY_Imported_or_Domestic_Car_index_22_MEAN,0.0,1
POLICY_iply_area_area_18_MEAN,0.0,1
POLICY_iply_area_area_7_MEAN,333.9044198989868,1
POLICY_iply_area_area_5_MEAN,1209.4963512420654,1
POLICY_Engine_Displacement_(Cubic_Centimeter)_MAX,111834.24600052834,1
POLICY_Imported_or_Domestic_Car_index_23_MEAN,0.0,1
POLICY_Imported_or_Domestic_Car_index_20_MEAN,100.56287026405334,1
POLICY_Manafactured_Year_and_Month_MAX,213655.14531588554,1
POLICY_Insured_Amount1_MAX,353045.9191646576,1
POLICY_Insured_Amount1_MEAN,33937.255578517914,1
POLICY_Insured_Amount1_SUM,173968.69712626934,1
POLICY_Insured_Amount2_MAX,57071.315679073334,1
POLICY_Insured_Amount2_MEAN,38610.76428544521,1
POLICY_Insured_Amount2_SUM,24502.75705718994,1
POLICY_Imported_or_Domestic_Car_index_10_MEAN,28503.730141162872,1
POLICY_iply_area_area_14_MEAN,354.5862216949463,1
POLICY_fequipment9_MAX,0.0,1
POLICY_iply_area_area_11_MEAN,68.83291101455688,1
POLICY_iply_area_area_4_MEAN,3408.8102704286575,1
POLICY_Policy_days_from_ibirth_MEAN,354536.8730484247,1
POLICY_Imported_or_Domestic_Car_index_21_MEAN,0.0,1
POLICY_iply_area_area_6_MEAN,316.6296896934509,1
POLICY_Main_Insurance_Coverage_Group_車責_MEAN,83419.80116415024,1
POLICY_iply_area_area_13_MEAN,2425.7294549942017,1
POLICY_Main_Insurance_Coverage_Group_車損_MEAN,21676.38991165161,1
POLICY_iply_area_area_16_MEAN,343.55336833000183,1
POLICY_iply_area_area_9_MEAN,1565.644019126892,1
POLICY_Replacement_cost_of_insured_vehicle_MAX,221966.25042319298,1
POLICY_Replacement_cost_of_insured_vehicle_MEAN,10564.706645011902,1
POLICY_Replacement_cost_of_insured_vehicle_SUM,128173.89215397835,1
POLICY_iply_area_area_2_MEAN,8818.964888095856,1
POLICY_Main_Insurance_Coverage_Group_竊盜_MEAN,61366.105147480965,1
POLICY_iply_area_area_8_MEAN,694.4786217212677,1
POLICY_iply_area_area_0_MEAN,8881.692412614822,1
POLICY_Insured_Amount3_MAX,1245239.5166848898,1
POLICY_Insured_Amount3_MEAN,121318.72803163528,1
POLICY_Insured_Amount3_SUM,85070.54687786102,1
POLICY_fequipment3_MAX,0.0,1
POLICY_iply_area_area_3_MEAN,1351.600158214569,1
POLICY_Premium_MAX,1026057.8177987337,1
POLICY_Premium_MEAN,383956.85696434975,1
POLICY_Premium_SUM,6781712.712249398,1
POLICY_iply_area_area_17_MEAN,162.95778965950012,1
POLICY_Imported_or_Domestic_Car_index_24_MEAN,238.13940036296844,1
POLICY_fequipment2_MAX,0.0,1
POLICY_iply_area_area_20_MEAN,0.0,1
POLICY_fequipment1_MAX,0.0,1
POLICY_iply_area_area_1_MEAN,311.82236099243164,1
POLICY_iply_area_area_10_MEAN,310.37116956710815,1
POLICY_Imported_or_Domestic_Car_index_30_MEAN,5178.587927818298,1
POLICY_iply_area_area_21_MEAN,0.0,1
POLICY_iply_area_area_12_MEAN,245.19256949424744,1
