feature,importance,fold
POLICY_Imported_or_Domestic_Car_index_10_MEAN,92.79432153701782,1
POLICY_Imported_or_Domestic_Car_index_90_MEAN,0.0,1
POLICY_Insurance_Coverage_07P_MEAN,20.595329523086548,1
POLICY_Insurance_Coverage_45@_MEAN,0.0,1
POLICY_Insurance_Coverage_47B_MEAN,0.0,1
POLICY_Insurance_Coverage_40M_MEAN,9.432169914245605,1
POLICY_Insurance_Coverage_12L_MEAN,168.73911952972412,1
POLICY_Multiple_Products_with_TmNewa_(Yes_or_No?)_MAX,821.6459894180298,1
POLICY_Multiple_Products_with_TmNewa_(Yes_or_No?)_MEAN,43.95079040527344,1
POLICY_Multiple_Products_with_TmNewa_(Yes_or_No?)_SUM,614.4865026473999,1
POLICY_Manafactured_Year_and_Month_diff_MAX,5273.39498925209,1
POLICY_Imported_or_Domestic_Car_index_50_MEAN,14.044270038604736,1
POLICY_Imported_or_Domestic_Car_index_22_MEAN,0.0,1
POLICY_Insurance_Coverage_18@_MEAN,255.46363711357117,1
POLICY_Imported_or_Domestic_Car_index_40_MEAN,57.78701949119568,1
POLICY_Insurance_Coverage_03L_MEAN,246.3294394016266,1
POLICY_Policy_days_from_dbirth_MEAN,3029.444251179695,1
POLICY_Insurance_Coverage_15F_MEAN,69.35791063308716,1
POLICY_Insurance_Coverage_46A_MEAN,0.0,1
POLICY_Main_Insurance_Coverage_Group_車責_MEAN,376.55121898651123,1
POLICY_Insurance_Coverage_68E_MEAN,0.0,1
POLICY_iply_area_area_20_MEAN,0.0,1
POLICY_Insured_Amount3_MAX,82912.58990001678,1
POLICY_Insured_Amount3_MEAN,15727.599085330963,1
POLICY_Insured_Amount3_SUM,1094.1757545471191,1
POLICY_Main_Insurance_Coverage_Group_竊盜_MEAN,192.91076040267944,1
POLICY_Insurance_Coverage_33O_MEAN,0.0,1
POLICY_Coverage_Deductible_if_applied_MAX,890.3158326148987,1
POLICY_Coverage_Deductible_if_applied_MEAN,644.2707750797272,1
POLICY_Coverage_Deductible_if_applied_SUM,917.4697723388672,1
POLICY_lia_class_MAX,1056.9810373783112,1
POLICY_lia_class_MEAN,16.563849925994873,1
POLICY_Insurance_Coverage_01A_MEAN,3.9081099033355713,1
POLICY_Insurance_Coverage_01J_MEAN,0.0,1
POLICY_Main_Insurance_Coverage_Group_車損_MEAN,479.7604811191559,1
POLICY_Insurance_Coverage_56B_MEAN,0.0,1
POLICY_Insurance_Coverage_05N_MEAN,184.0419282913208,1
POLICY_Premium_MAX,971.4675660133362,1
POLICY_Premium_MEAN,1170.9575173854828,1
POLICY_Premium_SUM,954.5638546943665,1
POLICY_Insurance_Coverage_51O_MEAN,27.495370149612427,1
POLICY_fassured_cat_1_MEAN,7.250679969787598,1
POLICY_Insurance_Coverage_70P_MEAN,0.0,1
POLICY_iply_area_area_5_MEAN,7.270139694213867,1
POLICY_Insurance_Coverage_16P_MEAN,259.9364011287689,1
POLICY_Insurance_Coverage_14E_MEAN,82.09189963340759,1
POLICY_Imported_or_Domestic_Car_index_23_MEAN,0.0,1
POLICY_Insurance_Coverage_66L_MEAN,0.0,1
POLICY_Insurance_Coverage_56K_MEAN,0.0,1
POLICY_Insurance_Coverage_70G_MEAN,0.0,1
POLICY_Insurance_Coverage_34P_MEAN,0.0,1
