feature,importance,fold
POLICY_Imported_or_Domestic_Car_index_10_MEAN,13.969499826431274,1
POLICY_Imported_or_Domestic_Car_index_90_MEAN,0.0,1
POLICY_Insurance_Coverage_07P_MEAN,0.0,1
POLICY_Insurance_Coverage_45@_MEAN,0.0,1
POLICY_Insurance_Coverage_47B_MEAN,0.0,1
POLICY_Insurance_Coverage_40M_MEAN,0.0,1
POLICY_Insurance_Coverage_12L_MEAN,377.1755106449127,1
POLICY_Multiple_Products_with_TmNewa_(Yes_or_No?)_MAX,485.70881700515747,1
POLICY_Multiple_Products_with_TmNewa_(Yes_or_No?)_MEAN,34.21568989753723,1
POLICY_Multiple_Products_with_TmNewa_(Yes_or_No?)_SUM,246.1687593460083,1
POLICY_Manafactured_Year_and_Month_diff_MAX,2479.4793009757996,1
POLICY_Imported_or_Domestic_Car_index_50_MEAN,7.447309970855713,1
POLICY_Imported_or_Domestic_Car_index_22_MEAN,0.0,1
POLICY_Insurance_Coverage_18@_MEAN,139.71444964408875,1
POLICY_Imported_or_Domestic_Car_index_40_MEAN,23.78184986114502,1
POLICY_Insurance_Coverage_03L_MEAN,79.74153089523315,1
POLICY_Policy_days_from_dbirth_MEAN,2080.568340063095,1
POLICY_Insurance_Coverage_15F_MEAN,95.1786298751831,1
POLICY_Insurance_Coverage_46A_MEAN,0.0,1
POLICY_Main_Insurance_Coverage_Group_車責_MEAN,394.5686619281769,1
POLICY_Insurance_Coverage_68E_MEAN,0.0,1
POLICY_iply_area_area_20_MEAN,0.0,1
POLICY_Insured_Amount3_MAX,5291.064654588699,1
POLICY_Insured_Amount3_MEAN,1134.9749069213867,1
POLICY_Insured_Amount3_SUM,1320.2139296531677,1
POLICY_Main_Insurance_Coverage_Group_竊盜_MEAN,363.4657485485077,1
POLICY_Insurance_Coverage_33O_MEAN,0.0,1
POLICY_Coverage_Deductible_if_applied_MAX,46.66879987716675,1
POLICY_Coverage_Deductible_if_applied_MEAN,654.1471567153931,1
POLICY_Coverage_Deductible_if_applied_SUM,100.18888831138611,1
POLICY_lia_class_MAX,3171.0881822109222,1
POLICY_lia_class_MEAN,25.123530387878418,1
POLICY_Insurance_Coverage_01A_MEAN,117.59363865852356,1
POLICY_Insurance_Coverage_01J_MEAN,0.0,1
POLICY_Main_Insurance_Coverage_Group_車損_MEAN,488.4177529811859,1
POLICY_Insurance_Coverage_56B_MEAN,0.0,1
POLICY_Insurance_Coverage_05N_MEAN,327.064425945282,1
POLICY_Premium_MAX,13783.746985673904,1
POLICY_Premium_MEAN,2052.9231622219086,1
POLICY_Premium_SUM,2697.8120992183685,1
POLICY_Insurance_Coverage_51O_MEAN,1777.8292520046234,1
POLICY_fassured_cat_1_MEAN,0.0,1
POLICY_Insurance_Coverage_70P_MEAN,0.0,1
POLICY_iply_area_area_5_MEAN,64.01824975013733,1
POLICY_Insurance_Coverage_16P_MEAN,239.1286106109619,1
POLICY_Insurance_Coverage_14E_MEAN,256.83648204803467,1
POLICY_Imported_or_Domestic_Car_index_23_MEAN,0.0,1
POLICY_Insurance_Coverage_66L_MEAN,0.0,1
POLICY_Insurance_Coverage_56K_MEAN,0.0,1
POLICY_Insurance_Coverage_70G_MEAN,0.0,1
POLICY_Insurance_Coverage_34P_MEAN,0.0,1
POLICY_Imported_or_Domestic_Car_index_30_MEAN,27.686320304870605,1
POLICY_plia_acc_MAX,6217.135298013687,1
POLICY_plia_acc_MEAN,426.693603515625,1
POLICY_iply_area_area_18_MEAN,0.0,1
POLICY_Insurance_Coverage_33F_MEAN,0.0,1
POLICY_Insurance_Coverage_20B_MEAN,89.98842978477478,1
POLICY_iply_area_area_1_MEAN,19.075949668884277,1
POLICY_Insurance_Coverage_32N_MEAN,0.0,1
POLICY_Insurance_Coverage_27I_MEAN,0.0,1
POLICY_Insurance_Coverage_15O_MEAN,166.65399265289307,1
POLICY_iply_area_area_16_MEAN,0.0,1
POLICY_iply_area_area_6_MEAN,0.0,1
POLICY_fassured_cat_0_MEAN,0.0,1
POLICY_Manafactured_Year_and_Month_MAX,127.7558114528656,1
POLICY_Insurance_Coverage_72@_MEAN,0.0,1
POLICY_Insurance_Coverage_14N_MEAN,0.0,1
POLICY_Insured_Amount2_MAX,215.8296675682068,1
POLICY_Insured_Amount2_MEAN,811.1337723731995,1
POLICY_Insured_Amount2_SUM,315.53754138946533,1
POLICY_iply_area_area_14_MEAN,57.364120960235596,1
POLICY_Insurance_Coverage_68N_MEAN,0.0,1
POLICY_New_Insured_Amount_max_MAX,71.13902950286865,1
POLICY_New_Insured_Amount_max_MEAN,107.49543285369873,1
POLICY_New_Insured_Amount_max_SUM,95.95970106124878,1
POLICY_iply_area_area_8_MEAN,59.86526012420654,1
POLICY_iply_area_area_7_MEAN,0.0,1
POLICY_iply_area_area_13_MEAN,0.0,1
POLICY_Insurance_Coverage_57C_MEAN,0.0,1
POLICY_iply_area_area_2_MEAN,213.66536617279053,1
POLICY_iply_area_area_10_MEAN,6.639150142669678,1
POLICY_Insurance_Coverage_65K_MEAN,0.0,1
POLICY_Deductible_calc_MAX,5111.471458911896,1
POLICY_Deductible_calc_MEAN,454.13111686706543,1
POLICY_Deductible_calc_SUM,1770.2591848373413,1
POLICY_Insured_Amount1_MAX,584.0712866783142,1
POLICY_Insured_Amount1_MEAN,1242.323742866516,1
POLICY_Insured_Amount1_SUM,762.1704967021942,1
POLICY_iply_area_area_0_MEAN,114.50221943855286,1
POLICY_iply_area_area_4_MEAN,47.659899950027466,1
POLICY_qpt_MAX,1767.6216299533844,1
POLICY_qpt_MEAN,0.0,1
POLICY_iply_area_area_19_MEAN,0.0,1
POLICY_Insurance_Coverage_16G_MEAN,548.7265725135803,1
POLICY_Insurance_Coverage_05E_MEAN,190.60309171676636,1
POLICY_Insurance_Coverage_36I_MEAN,0.0,1
POLICY_Insurance_Coverage_37J_MEAN,0.0,1
POLICY_Insurance_Coverage_71H_MEAN,0.0,1
POLICY_Insurance_Coverage_29K_MEAN,394.4210500717163,1
POLICY_Policy_days_from_ibirth_MEAN,6002.852868556976,1
POLICY_Insurance_Coverage_06F_MEAN,29.108529806137085,1
POLICY_Insurance_Coverage_04M_MEAN,1607.134262084961,1
POLICY_Insurance_Coverage_35H_MEAN,0.0,1
POLICY_iply_area_area_21_MEAN,0.0,1
POLICY_Insurance_Coverage_66C_MEAN,0.0,1
POLICY_iply_area_area_12_MEAN,10.508790016174316,1
POLICY_Insurance_Coverage_10A_MEAN,139.75947999954224,1
POLICY_fassured_cat_2_MEAN,0.0,1
POLICY_Insurance_Coverage_41E_MEAN,0.0,1
POLICY_iply_area_area_9_MEAN,64.39423036575317,1
POLICY_pdmg_acc_MAX,3465.509024620056,1
POLICY_pdmg_acc_MEAN,1606.4700736999512,1
POLICY_iply_area_area_15_MEAN,0.0,1
POLICY_Insurance_Coverage_02K_MEAN,113.68101978302002,1
POLICY_Insurance_Coverage_00I_MEAN,57.633870363235474,1
POLICY_Insurance_Coverage_42F_MEAN,32.229289531707764,1
POLICY_Insurance_Coverage_26H_MEAN,139.2064299583435,1
POLICY_Imported_or_Domestic_Car_index_24_MEAN,0.0,1
POLICY_Insurance_Coverage_29B_MEAN,136.5137495994568,1
POLICY_Insurance_Coverage_67D_MEAN,0.0,1
POLICY_iply_area_area_11_MEAN,0.0,1
POLICY_Engine_Displacement_(Cubic_Centimeter)_MAX,2782.3559758663177,1
POLICY_Insurance_Coverage_55J_MEAN,469.5079655647278,1
POLICY_Insurance_Coverage_18I_MEAN,0.0,1
POLICY_Replacement_cost_of_insured_vehicle_MAX,1707.2966428995132,1
POLICY_Replacement_cost_of_insured_vehicle_MEAN,32.24674987792969,1
POLICY_Replacement_cost_of_insured_vehicle_SUM,1236.4978041648865,1
POLICY_Insurance_Coverage_57L_MEAN,31.415459394454956,1
POLICY_iply_area_area_17_MEAN,0.0,1
POLICY_Insurance_Coverage_20K_MEAN,439.0598397254944,1
POLICY_Insurance_Coverage_25G_MEAN,0.0,1
POLICY_fassured_cat_3_MEAN,0.0,1
POLICY_iply_area_area_3_MEAN,92.26578092575073,1
POLICY_Insurance_Coverage_09@_MEAN,46.19919037818909,1
