feature,importance,fold
POLICY_Imported_or_Domestic_Car_index_10_MEAN,880.5383079051971,1
POLICY_Imported_or_Domestic_Car_index_90_MEAN,5.098609924316406,1
POLICY_Insurance_Coverage_07P_MEAN,15.413450002670288,1
POLICY_Insurance_Coverage_45@_MEAN,0.0,1
POLICY_Insurance_Coverage_47B_MEAN,0.0,1
POLICY_Insurance_Coverage_40M_MEAN,12.647390127182007,1
POLICY_Insurance_Coverage_12L_MEAN,106.70023989677429,1
POLICY_Multiple_Products_with_TmNewa_(Yes_or_No?)_MAX,198.01716995239258,1
POLICY_Multiple_Products_with_TmNewa_(Yes_or_No?)_MEAN,7.670179843902588,1
POLICY_Multiple_Products_with_TmNewa_(Yes_or_No?)_SUM,498.2437002658844,1
POLICY_Manafactured_Year_and_Month_diff_MAX,8092.010089635849,1
POLICY_Imported_or_Domestic_Car_index_50_MEAN,40.59196996688843,1
POLICY_Imported_or_Domestic_Car_index_22_MEAN,0.0,1
POLICY_Insurance_Coverage_18@_MEAN,192.5391616821289,1
POLICY_Imported_or_Domestic_Car_index_40_MEAN,105.3458902835846,1
POLICY_Insurance_Coverage_03L_MEAN,56.39490008354187,1
POLICY_Policy_days_from_dbirth_MEAN,3314.224727034569,1
POLICY_Insurance_Coverage_15F_MEAN,142.0582001209259,1
POLICY_Insurance_Coverage_46A_MEAN,6.809450149536133,1
POLICY_Main_Insurance_Coverage_Group_車責_MEAN,763.1983366012573,1
POLICY_Insurance_Coverage_68E_MEAN,0.0,1
POLICY_iply_area_area_20_MEAN,0.0,1
POLICY_Insured_Amount3_MAX,6708.110644102097,1
POLICY_Insured_Amount3_MEAN,1395.603519320488,1
POLICY_Insured_Amount3_SUM,1221.091398715973,1
POLICY_Main_Insurance_Coverage_Group_竊盜_MEAN,335.70969021320343,1
POLICY_Insurance_Coverage_33O_MEAN,0.0,1
POLICY_Coverage_Deductible_if_applied_MAX,46.54946994781494,1
POLICY_Coverage_Deductible_if_applied_MEAN,537.1679301261902,1
POLICY_Coverage_Deductible_if_applied_SUM,172.91591048240662,1
POLICY_lia_class_MAX,15646.344911575317,1
POLICY_lia_class_MEAN,76.87425827980042,1
POLICY_Insurance_Coverage_01A_MEAN,13.596630096435547,1
POLICY_Insurance_Coverage_01J_MEAN,0.0,1
POLICY_Main_Insurance_Coverage_Group_車損_MEAN,430.48385977745056,1
POLICY_Insurance_Coverage_56B_MEAN,0.0,1
POLICY_Insurance_Coverage_05N_MEAN,604.3792231082916,1
POLICY_Premium_MAX,4111.977966308594,1
POLICY_Premium_MEAN,2375.846815466881,1
POLICY_Premium_SUM,3386.5714082717896,1
POLICY_Insurance_Coverage_51O_MEAN,2576.39879822731,1
POLICY_fassured_cat_1_MEAN,0.0,1
POLICY_Insurance_Coverage_70P_MEAN,0.0,1
POLICY_iply_area_area_5_MEAN,5.932549953460693,1
POLICY_Insurance_Coverage_16P_MEAN,240.53658199310303,1
POLICY_Insurance_Coverage_14E_MEAN,104.39144015312195,1
POLICY_Imported_or_Domestic_Car_index_23_MEAN,0.0,1
POLICY_Insurance_Coverage_66L_MEAN,0.0,1
POLICY_Insurance_Coverage_56K_MEAN,0.0,1
POLICY_Insurance_Coverage_70G_MEAN,0.0,1
